	module	trimmed_erpe_2018_pw_0hr_WHONDRS.PP48.000085_95ID.sorted	trimmed_erpe_2018_pw_3hr_WHONDRS.PP48.000086_95ID.sorted	trimmed_erpe_2018_pw_6hr_WHONDRS.PP48.000087_95ID.sorted	trimmed_erpe_2018_pw_9hr_WHONDRS.PP48.000088_95ID.sorted	trimmed_erpe_2018_pw_12hr_WHONDRS.PP48.000089_95ID.sorted	trimmed_erpe_2018_pw_15hr_WHONDRS.PP48.000090_95ID.sorted	trimmed_erpe_2018_pw_18hr_WHONDRS.PP48.000091_95ID.sorted	trimmed_erpe_2018_pw_21hr_WHONDRS.PP48.000092_95ID.sorted	trimmed_erpe_2018_pw_24hr_WHONDRS.PP48.000093_95ID.sorted	trimmed_erpe_2018_pw_27hr_WHONDRS.PP48.000094_95ID.sorted	trimmed_erpe_2018_pw_30hr_WHONDRS.PP48.000095_95ID.sorted	trimmed_erpe_2018_pw_33hr_WHONDRS.PP48.000096_95ID.sorted	trimmed_erpe_2018_pw_36hr_WHONDRS.PP48.000097_95ID.sorted	trimmed_erpe_2018_pw_39hr_WHONDRS.PP48.000098_95ID.sorted	trimmed_erpe_2018_pw_42hr_WHONDRS.PP48.000099_95ID.sorted	trimmed_erpe_2018_pw_45hr_WHONDRS.PP48.000100_95ID.sorted	trimmed_erpe_2018_pw_48hr_WHONDRS.PP48.000101_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_4__full-cat_1	grey	262.1898989	275.42739	253.1704936	116.4807027	27.50598555	200.775357	116.4801967	0	0	0	0	0	54.27178635	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_175__full-cat_1	grey	55.85110272	57.05714377	88.29711658	33.7276078	6.70342312	63.58047104	40.91818088	0	21.9403782	0	12.87649776	0	19.14381505	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_249144__full-cat_1	grey	40.17696736	37.34048598	29.15187307	27.10254199	0	0	18.95797004	16.58623396	40.39279884	0	12.33289891	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_384700__full-cat_1	grey	35.26680455	33.32005018	56.62075141	21.38089423	0	36.37304641	27.89722637	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_846510__full-cat_1	grey	189.4011336	249.1568711	92.02374778	82.33149976	26.37467736	225.4742956	171.903586	79.72637207	185.9306409	0	0	132.123075	36.28961056	45.00526061	51.81306915	0	109.4994047
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_11_length_34717_cov_2.431367__full-cat_1	grey	61.52897828	88.39451328	97.55358762	55.89146436	0	0	42.80723128	0	64.86475914	0	0	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_863023__full-cat_1	grey	6.381612252	27.15171031	0	0	0	21.99749226	14.94373795	6.128472888	24.35944554	0	0	0	0	0	7.463859208	0	0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_19_length_25836_cov_2.424326__full-cat_1	grey	134.5256658	148.1503057	129.2900597	60.64946618	12.41061963	98.12039309	57.31243967	0	0	0	0	0	27.8793423	0	0	0	0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_B_k121_523646__full-cat_1	grey	47.63017867	146.8835931	140.3497394	75.34506672	35.81350236	264.1628675	129.7035495	46.46956736	127.029164	73.37033196	0	119.5790032	38.84521694	26.47517587	87.39658398	82.18356701	258.9588368
erpe_2018_pw_6hr_WHONDRS-PP48-000087_F_scaffold_83__full-cat_1	blue	9.052612869	30.07065685	84.26995061	77.75418156	12.25865286	68.88688364	70.19846201	57.91125757	172.8226714	133.1919548	62.75169224	120.2824091	46.93022621	25.91673496	17.67603867	34.22819958	103.5835347
