	trimmed_erpe_2018_sw_0hr_WHONDRS.SW48.000085_95ID.sorted	trimmed_erpe_2018_sw_3hr_WHONDRS.SW48.000086_95ID.sorted	trimmed_erpe_2018_sw_6hr_WHONDRS.SW48.000087_95ID.sorted	trimmed_erpe_2018_sw_9hr_WHONDRS.SW48.000088_95ID.sorted	trimmed_erpe_2018_sw_12hr_WHONDRS.SW48.000089_95ID.sorted	trimmed_erpe_2018_sw_15hr_WHONDRS.SW48.000090_95ID.sorted	trimmed_erpe_2018_sw_18hr_WHONDRS.SW48.000091_95ID.sorted	trimmed_erpe_2018_sw_21hr_WHONDRS.SW48.000092_95ID.sorted	trimmed_erpe_2018_sw_24hr_WHONDRS.SW48.000093_95ID.sorted	trimmed_erpe_2018_sw_27hr_WHONDRS.SW48.000094_95ID.sorted	trimmed_erpe_2018_sw_30hr_WHONDRS.SW48.000095_95ID.sorted	trimmed_erpe_2018_sw_33hr_WHONDRS.SW48.000096_95ID.sorted	trimmed_erpe_2018_sw_39hr_WHONDRS.SW48.000098_95ID.sorted	trimmed_erpe_2018_sw_42hr_WHONDRS.SW48.000099_95ID.sorted	trimmed_erpe_2018_sw_45hr_WHONDRS.SW48.000100_95ID.sorted
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_88_length_37757_cov_1.793675__full-cat_1	23.21696353	11.69771266	14.84232883	12.0410633	17.86421931	18.76354097	11.13729946	5.508834672	11.25763478	14.5518104	14.54718525	14.20825539	10.04699519	7.042482899	5.989569474
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_204_length_25907_cov_2.538247__full-cat_1	17.55814028	11.93307911	16.48385036	22.1814945	23.9072781	22.9164576	21.4042531	26.67186219	17.06633884	17.28711311	27.65400049	24.51736378	29.10439084	26.71039604	17.09736519
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_688_length_14967_cov_1.596900__full-cat_2	3.606357255	0	4.055187336	3.43231795	0	3.197645246	3.304187111	3.482923585	2.524954692	2.625890599	2.461321936	0	0	0	2.427313302
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_694_length_14905_cov_1.833130__full-cat_2	10.42021198	4.730865682	8.865360185	9.491980259	9.100255473	9.693490621	6.994036441	5.316041261	4.683594713	9.089621304	9.635578699	7.916449991	5.741140111	6.460459519	4.290816274
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_725_length_14464_cov_3.736905__full-cat_2	17.97361922	16.5109566	5.782502676	4.807481168	6.736023368	3.579753798	5.018820486	6.918438954	15.38521615	12.33831929	14.34299487	11.57928506	7.923969424	8.385613776	8.233827474
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_741_length_14326_cov_1.525107__full-cat_1	3.141020835	0	3.071418335	3.197533986	2.93490882	2.865814136	3.111356002	2.876098423	2.609992026	2.693221127	2.836590751	3.07205522	0	3.626453368	4.664249089
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_806_length_13736_cov_1.611801__full-cat_1	3.971978728	4.789707295	2.997063701	0	3.036815376	0	2.882043332	2.898222257	3.67622937	4.199741695	2.406135345	0	0	2.569857078	1.925741775
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_824_length_13553_cov_3.300387__full-cat_2	15.12343365	11.26228472	16.44953283	16.88208503	18.99538209	17.76804764	23.34819915	29.57956609	22.36481889	23.86025592	18.9069259	14.42487467	22.52600113	23.48688194	15.72078932
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_901_length_12848_cov_1.413332__full-cat_2	5.66713283	7.225750071	4.489875965	3.43231795	4.249503396	4.022195278	3.215589034	3.584061112	6.168477394	5.39485857	3.774762789	3.042516228	3.149653255	3.111586532	2.540807589
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_952_length_12435_cov_4.592054__full-cat_1	19.85158406	19.41773228	24.84016728	20.98521431	23.78499023	26.19454675	30.29011907	32.34504534	27.68946427	24.76921805	22.10222949	20.26374886	25.17729153	15.58927238	14.28929686
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_967_length_12292_cov_2.175421__full-cat_2	10.51992692	10.22667233	11.13603631	8.631105724	9.701504155	10.52809614	8.151023095	6.959526075	7.888848078	8.35740181	7.356372512	8.546615164	6.209601196	6.733562797	9.928919568
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_1175_length_11054_cov_4.768555__full-cat_2	11.10990703	7.684714652	11.85098471	11.12428782	12.06573626	12.27775109	16.96392594	20.56252345	15.91506416	16.31923677	12.89158754	9.718328533	17.22342033	15.83999014	11.04921802
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_1281_length_10543_cov_1.681356__full-cat_2	6.057683039	3.777631552	5.811100612	5.377670794	5.971724196	4.545080664	6.488506236	5.04107361	3.833221371	5.554768575	6.136748862	5.090553041	5.232809997	5.744123051	8.779332273
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_1289_length_10491_cov_1.433037__full-cat_1	5.575727461	0	2.333591584	0	0	0	1.344606112	1.782548913	2.04089602	5.39485857	3.272564816	0	0	1.459535553	3.390184189
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_NODE_1363_length_10172_cov_4.542160__full-cat_2	9.805303136	9.167523299	9.934922995	8.709367046	12.41221855	9.220882676	11.96074041	12.51576896	11.74169345	12.30465402	11.14217262	15.39966142	13.91429096	10.55253159	20.32646071
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_9419__full-cat_1	28.2774971	33.48087777	28.83243916	25.34548792	33.70049815	34.99309892	43.01176062	37.68321044	47.4377498	35.61784941	34.41987649	32.4436601	36.00173278	30.6278611	45.71989217
