	SW48_000085	SW48_000086	SW48_000087	SW48_000088	SW48_000089	SW48_000090	SW48_000091	SW48_000092	SW48_000093	SW48_000094	SW48_000095	SW48_000096	SW48_000098	SW48_000099	SW48_000100	PP48_000085-4	PP48_000086-4	PP48_000087-4	PP48_000088-4	PP48_000089-4	PP48_000090-4	PP48_000091-4	PP48_000092-4	PP48_000093-4	PP48_000094-4	PP48_000095-4	PP48_000096-4	PP48_000097-4	PP48_000098-4	PP48_000099-4	PP48_000100-4	PP48_000101-4
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1158749__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.309265161	15.09040289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1211916__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.84394262	24.94873178	29.87315653	21.68203359	0	0	19.32903351	9.052148027	29.5351245	31.24347133	24.32604854	46.07308651	15.19424155	8.249695261	8.158171692	0	29.24448933
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1306047__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.388487198	12.72220098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1320420__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.79521254	0	0	17.82744984	0	0	18.92423699	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1548123__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.756349559	13.438169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1630086__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.436469245	0	0	0	0	0	10.42351022	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1640961__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.06023586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1641991__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.572792399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1676554__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.72974039	0	0	0	0	0	17.10265269	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1752990__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.70476988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1844398__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.87593066	0	0	0	0	0	0	0	15.80832378	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1865051__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.73451379	64.3269729	56.44043054	47.76070177	15.65257741	0	60.6520109	36.88328637	72.2907333	51.38144337	48.686072	0	0	17.4385866	24.53237445	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1882085__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.40312771	40.25943253	0	0	0	0	0	0	41.51794644	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1925751__full-cat_2	30.28010562	26.19628609	34.27748619	27.68214737	32.09037456	28.13525597	35.89785619	42.81593993	36.50064036	58.36715161	34.71788408	25.16722161	31.98492815	23.90772961	31.63927836	9.212553026	11.89608403	15.86823606	15.96038584	0	0	13.32455189	13.74689561	16.25838282	0	11.68737527	24.85367516	11.56992706	5.787478522	0	10.90098624	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2041611__full-cat_2	9.140536822	10.09722078	10.52976006	9.190115162	11.10781463	9.743768062	9.453935994	8.89062073	9.589594761	9.468355525	8.371805777	7.699830712	8.970531423	6.01722633	5.41111472	12.02749978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2052575__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.645887532	0	0	0	0	0	10.11991283	0	13.95183024	19.02742211	12.23097412	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2052936__full_1-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.28728682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2193903__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.30281794	0	0	0	0	0	48.13705203	39.30094081	78.1977582	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2223667__0_partial-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.2911696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_4__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262.1898989	275.42739	253.1704936	116.4807027	27.50598555	200.775357	116.4801967	0	0	0	0	0	54.27178635	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_175__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.85110272	57.05714377	88.29711658	33.7276078	6.70342312	63.58047104	40.91818088	0	21.9403782	0	12.87649776	0	19.14381505	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_279__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.92704744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_249144__full-cat_1	4.470553464	4.507267553	3.037100812	0	7.072315004	5.540573996	3.42926675	2.765479253	6.031109393	6.194408592	2.952482591	0	5.422187882	2.211688844	1.475425732	40.17696736	37.34048598	29.15187307	27.10254199	0	0	18.95797004	16.58623396	40.39279884	0	12.33289891	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_384700__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.26680455	33.32005018	56.62075141	21.38089423	0	36.37304641	27.89722637	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_846510__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189.4011336	249.1568711	92.02374778	82.33149976	26.37467736	225.4742956	171.903586	79.72637207	185.9306409	0	0	132.123075	36.28961056	45.00526061	51.81306915	0	109.4994047
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_11_length_34717_cov_2.431367__full-cat_1	70.85577953	92.84029693	69.6188156	70.06624297	86.09065872	82.08295014	68.87718748	60.4454751	75.97104608	60.66480589	54.87202692	49.7830487	47.36440591	41.82957262	42.84958504	61.52897828	88.39451328	97.55358762	55.89146436	0	0	42.80723128	0	64.86475914	0	0	0	0	0	0	0	0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_863023__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.381612252	27.15171031	0	0	0	21.99749226	14.94373795	6.128472888	24.35944554	0	0	0	0	0	7.463859208	0	0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_19_length_25836_cov_2.424326__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.5256658	148.1503057	129.2900597	60.64946618	12.41061963	98.12039309	57.31243967	0	0	0	0	0	27.8793423	0	0	0	0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_B_k121_523646__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.63017867	146.8835931	140.3497394	75.34506672	35.81350236	264.1628675	129.7035495	46.46956736	127.029164	73.37033196	0	119.5790032	38.84521694	26.47517587	87.39658398	82.18356701	258.9588368
erpe_2018_pw_6hr_WHONDRS-PP48-000087_F_scaffold_83__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.052612869	30.07065685	84.26995061	77.75418156	12.25865286	68.88688364	70.19846201	57.91125757	172.8226714	133.1919548	62.75169224	120.2824091	46.93022621	25.91673496	17.67603867	34.22819958	103.5835347
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_6_length_41943_cov_8.575617__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889.4452001	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_7_length_41777_cov_6.017119__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.1548113	240.0695847	171.8457837	528.0177457	99.21741625	421.0397202	522.2549682	102.8346506	216.3658835	305.2531571	161.652708	517.7067431	114.7699591	116.6126155	118.2356302	192.5840902	268.4465528
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_8_length_40614_cov_5.740534__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.3344857	241.1710739	596.922168	428.3406191	83.12582373	438.7920824	415.1188243	371.7846511	933.8162506	599.1787049	218.5946875	466.1236437	141.5805933	83.23307927	61.30200644	107.6640616	433.0863305
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_61784__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.838563761	0	0	45.17090331	7.615223746	24.21653753	66.99382294	0	0	0	0	0	0	0	8.997132611	12.65052724	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_75853__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.33205992	5.538344542	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_142881__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.91344013	96.38031042	121.4160487	65.70860735	12.37684924	156.0085306	49.85743722	19.87536849	99.96936425	55.97171641	58.40290144	71.04399599	23.13985411	16.57554156	0	0	50.89880586
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_452607__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.98804629	9.067350668	0	67.46608554	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_876214__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.60823876	4.322610375	0	30.89946718	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_1198905__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.47204266	0	0	24.82751948	0	0	37.61062425	21.91382864	0	0	0	0	15.5664289	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_66__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.21718385	31.3373695	69.122998	99.25553154	23.16648998	133.6251174	87.23364861	47.56594553	194.9880791	313.9894832	232.558383	391.2109152	102.8747731	47.64516309	41.1380147	78.99850519	166.5373209
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_95__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.326007218	22.58052987	59.14524351	57.39716114	9.725873343	52.00284354	44.5613495	47.2285984	107.5078532	94.54481726	45.4244789	84.76041106	31.59658794	18.73315416	11.8901013	25.1664744	75.00876653
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_97__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3360169	40.53480484	88.83807917	121.3591602	26.99942964	158.2275759	108.6878638	62.40921932	245.2259194	384.0281653	272.3430238	456.627664	117.8366868	54.80336021	48.8333114	95.2826945	219.8917709
erpe_2018_pw_12hr_WHONDRS-PP48-000089_A_NODE_5_length_42632_cov_3.586943__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.8249213	211.1554915	139.5082421	435.7486473	87.41466371	347.2323449	457.9597887	97.29653516	178.8984684	270.455926	127.7117548	413.2509668	96.97364564	99.52940037	107.3291382	177.1971014	227.8168043
erpe_2018_pw_12hr_WHONDRS-PP48-000089_A_NODE_54_length_11615_cov_1.131093__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.22299773	7.80096091	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_521054__full-cat_1	0	0	2.596692596	2.716785869	0	0	2.069025683	1.668769195	1.877362685	0	1.937049326	0	2.342305427	2.856391665	4.50682153	0	0	0	0	5.673426117	0	19.63263089	7.618422719	0	0	0	0	0	9.874250636	0	0	0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_916198__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.67637948	13.98891363	0	38.7265211	10.36751082	27.78630601	54.95112667	12.06015995	13.7830581	21.02641198	13.82779575	36.2254039	0	7.894323773	9.662515408	22.29543275	0
erpe_2018_pw_15hr_WHONDRS-PP48-000090_B_k121_565505__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.38773916	39.43331558	114.8042836	126.598985	18.35420889	109.5050601	103.5604413	91.8708688	226.1546676	187.9050479	96.79457022	190.2712962	71.51051301	40.30928023	28.20644468	46.02638633	154.8172012
erpe_2018_pw_15hr_WHONDRS-PP48-000090_A_NODE_8_length_35635_cov_3.033992__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.55049374	161.2029535	115.4654601	345.226157	65.70030065	281.7222692	344.0095702	72.47340874	146.269188	211.7448531	107.5985974	331.7731166	76.43586348	82.75078939	81.66850598	134.0417567	176.3598975
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_9_length_53871_cov_6.905869__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515.5083596	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_11_length_46236_cov_2.038669__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.2973191	31.99744789	0	140.9703857	34.1282848	0	0	0	0	46.0009148	43.0761011	0	85.95180917	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_13_length_42899_cov_1.834635__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.49006811	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_19_length_39274_cov_13.570491__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743.5437288	0	0	0	0	0	0	0	0	0	0
