,trimmed_erpe_2018_pw_0hr_WHONDRS.PP48.000085_95ID.sorted,trimmed_erpe_2018_pw_3hr_WHONDRS.PP48.000086_95ID.sorted,trimmed_erpe_2018_pw_6hr_WHONDRS.PP48.000087_95ID.sorted,trimmed_erpe_2018_pw_9hr_WHONDRS.PP48.000088_95ID.sorted,trimmed_erpe_2018_pw_12hr_WHONDRS.PP48.000089_95ID.sorted,trimmed_erpe_2018_pw_15hr_WHONDRS.PP48.000090_95ID.sorted,trimmed_erpe_2018_pw_18hr_WHONDRS.PP48.000091_95ID.sorted,trimmed_erpe_2018_pw_21hr_WHONDRS.PP48.000092_95ID.sorted,trimmed_erpe_2018_pw_24hr_WHONDRS.PP48.000093_95ID.sorted,trimmed_erpe_2018_pw_27hr_WHONDRS.PP48.000094_95ID.sorted,trimmed_erpe_2018_pw_30hr_WHONDRS.PP48.000095_95ID.sorted,trimmed_erpe_2018_pw_33hr_WHONDRS.PP48.000096_95ID.sorted,trimmed_erpe_2018_pw_36hr_WHONDRS.PP48.000097_95ID.sorted,trimmed_erpe_2018_pw_39hr_WHONDRS.PP48.000098_95ID.sorted,trimmed_erpe_2018_pw_42hr_WHONDRS.PP48.000099_95ID.sorted,trimmed_erpe_2018_pw_45hr_WHONDRS.PP48.000100_95ID.sorted,trimmed_erpe_2018_pw_48hr_WHONDRS.PP48.000101_95ID.sorted,trimmed_erpe_2018_sw_0hr_WHONDRS.SW48.000085_95ID.sorted,trimmed_erpe_2018_sw_3hr_WHONDRS.SW48.000086_95ID.sorted,trimmed_erpe_2018_sw_6hr_WHONDRS.SW48.000087_95ID.sorted,trimmed_erpe_2018_sw_9hr_WHONDRS.SW48.000088_95ID.sorted,trimmed_erpe_2018_sw_12hr_WHONDRS.SW48.000089_95ID.sorted,trimmed_erpe_2018_sw_15hr_WHONDRS.SW48.000090_95ID.sorted,trimmed_erpe_2018_sw_18hr_WHONDRS.SW48.000091_95ID.sorted,trimmed_erpe_2018_sw_21hr_WHONDRS.SW48.000092_95ID.sorted,trimmed_erpe_2018_sw_24hr_WHONDRS.SW48.000093_95ID.sorted,trimmed_erpe_2018_sw_27hr_WHONDRS.SW48.000094_95ID.sorted,trimmed_erpe_2018_sw_30hr_WHONDRS.SW48.000095_95ID.sorted,trimmed_erpe_2018_sw_33hr_WHONDRS.SW48.000096_95ID.sorted,trimmed_erpe_2018_sw_39hr_WHONDRS.SW48.000098_95ID.sorted,trimmed_erpe_2018_sw_42hr_WHONDRS.SW48.000099_95ID.sorted,trimmed_erpe_2018_sw_45hr_WHONDRS.SW48.000100_95ID.sorted
DBE_avg,8.445942821,8.538107602,8.582502055,8.668566988,8.56579508,8.603738078,8.560770866,8.554153232,8.608842871,8.477381692,8.558365955,8.431711201,8.436521367,8.358385775,8.555755143,8.44025453,8.581704099,8.208353641,8.119741102,8.116405063,8.056086893,8.056731394,8.046251095,8.202836343,8.098871563,8.25997625,7.880608456,8.077560231,8.083879068,8.029319225,8.049170433,8.106096015
lamO2_avg,0.053159234,0.053096738,0.053658709,0.053106702,0.053175782,0.052870409,0.053440828,0.053087389,0.053111177,0.053745353,0.053687769,0.053575594,0.053556845,0.053844472,0.052865773,0.053386612,0.054083669,0.053201577,0.053335626,0.053397209,0.054076034,0.054243343,0.055035611,0.054157093,0.05427187,0.053340524,0.053515439,0.053395905,0.054011377,0.054074763,0.054503583,0.054260194
SRP,424,407,400,411,242,364,391,397,353.6,301,388,367,284,381,305,295,301,73,63,63,63,64,64,63,63,68,46,61,52,66,63,70
NH4,0.65,0.56,0.56,0.57,0.36,0.5,0.6,0.46,0.63,0.54,0.56,0.6,0.61,0.4,0.49,0.47,0.44,0.04,0.05,0.05,0.07,0.09,0.08,0.08,0.04,0.04,0.04,0.05,0.07,0.07,0.06,0.2
NO3,0.05,0.04,0.05,0.06,0.03,0.04,0.16,0.03,0.00000001,0.05,0.18,0.04,0.1,0.02,0.03,0.02,0.01,3.25,3.28,3.67,4.07,4.83,5.34,4.91,4.62,3.85,3.76,4.11,3.9,5.93,5.24,5.4
DOC,72.6,9.8,9.5,65.1,9.4,7.98,8.1,8.2,19.855,64.3,12.4,10.3,7.9,7.6,7.7,7.9,8.9,10.7,12.9,11.2,11.7,11.8,11.3,10.7,16.5,12.2,12.5,12.12,60.2,13.7,11.7,11.7
Cl,121,121,118,119,117,117,116,116,116,115,117,117,116,116,117,117,119,103,119,120,118,119,125,122,121,114,125,127,127,127,131,127
SO4,134,133,133,133,131,132,130,130,131,129,131,135,133,135,135,166,135,120,134,135,139,134,135,135,136,125,136,135,139,136,139,169
B,0.174,0.174,0.175,0.172,0.167,0.159,0.162,0.156,0.143,0.153,0.16,0.159,0.163,0.157,0.16,0.158,0.157,0.112,0.148,0.15,0.145,0.143,0.148,0.144,0.138,0.122,0.162,0.168,0.166,0.162,0.159,0.156
Ca,106.9,105.2,102.7,100.1,97.3,95.5,100.3,99.2,101.6,96.2,100.2,96.7,97,102.1,103.9,103.2,102.8,107.7,108.1,106.6,104.9,103.6,109.3,105.2,103.6,106.1,103.4,105.5,105.4,108.8,108.4,112.7
Fe,0.06,0.056,0.057,0.079,0.092,0.039,0.156,0.04,0.031,0.04,0.051,0.033,0.043,0.037,0.046,0.04,0.038,0.051,0.036,0.033,0.039,0.041,0.043,0.039,0.036,0.045,0.032,0.033,0.033,0.032,0.03,0.033
K,26.71,27.05,26.87,26.37,25.63,25.54,26.43,26.08,25.22,25.6,26.78,26.02,26.01,27.01,27.73,27.29,26.73,19.78,24.84,24.74,24.08,24.09,24.95,25.34,24.39,21.66,25.66,26.39,25.98,26.99,26.86,27.37
Mg,12.28,12.21,11.91,11.7,11.41,11.23,11.87,11.73,12.12,11.43,11.87,11.47,11.49,11.98,12.19,12.14,12.01,11.47,11.7,11.67,11.58,11.54,12.23,11.74,11.59,11.59,11.42,11.82,11.84,12.19,12.12,12.56
Mn,0.508,0.482,0.464,0.451,0.449,0.438,0.446,0.454,0.786,0.441,0.43,0.434,0.441,0.431,0.442,0.44,0.437,0.01,0.011,0.00000001,0.00000001,0.015,0.014,0.00000001,0.00000001,0.00000001,0.01,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
Na,100.8,99.3,96.5,93.9,90.7,90.5,93.7,91.3,90,88.1,92.6,88.4,88.5,90.8,93.5,92.3,91.2,74.5,92.4,92.1,88.6,89,93.7,93.6,89.3,81.6,95.3,97.7,95.9,99.9,99.2,101.2
TN,0.7,0.89,0.82,0.71,0.8,0.87,0.84,0.8,0.82,0.8,0.59,0.72,0.58,0.52,0.8,0.83,0.99,2.01,2.18,2.19,1.61,2.82,2.35,2.73,2.99,2.42,2.2,2.56,2.87,3.16,1.58,2.61
