Genome,trimmed_erpe_2018_pw_0hr_WHONDRS-PP48-000085_95ID.sorted,trimmed_erpe_2018_pw_3hr_WHONDRS-PP48-000086_95ID.sorted,trimmed_erpe_2018_pw_6hr_WHONDRS-PP48-000087_95ID.sorted,trimmed_erpe_2018_pw_9hr_WHONDRS-PP48-000088_95ID.sorted,trimmed_erpe_2018_pw_12hr_WHONDRS-PP48-000089_95ID.sorted,trimmed_erpe_2018_pw_15hr_WHONDRS-PP48-000090_95ID.sorted,trimmed_erpe_2018_pw_18hr_WHONDRS-PP48-000091_95ID.sorted,trimmed_erpe_2018_pw_21hr_WHONDRS-PP48-000092_95ID.sorted,trimmed_erpe_2018_pw_24hr_WHONDRS-PP48-000093_95ID.sorted,trimmed_erpe_2018_pw_27hr_WHONDRS-PP48-000094_95ID.sorted,trimmed_erpe_2018_pw_30hr_WHONDRS-PP48-000095_95ID.sorted,trimmed_erpe_2018_pw_33hr_WHONDRS-PP48-000096_95ID.sorted,trimmed_erpe_2018_pw_36hr_WHONDRS-PP48-000097_95ID.sorted,trimmed_erpe_2018_pw_39hr_WHONDRS-PP48-000098_95ID.sorted,trimmed_erpe_2018_pw_42hr_WHONDRS-PP48-000099_95ID.sorted,trimmed_erpe_2018_pw_45hr_WHONDRS-PP48-000100_95ID.sorted,trimmed_erpe_2018_pw_48hr_WHONDRS-PP48-000101_95ID.sorted,trimmed_erpe_2018_sw_0hr_WHONDRS-SW48-000085_95ID.sorted,trimmed_erpe_2018_sw_3hr_WHONDRS-SW48-000086_95ID.sorted,trimmed_erpe_2018_sw_6hr_WHONDRS-SW48-000087_95ID.sorted,trimmed_erpe_2018_sw_9hr_WHONDRS-SW48-000088_95ID.sorted,trimmed_erpe_2018_sw_12hr_WHONDRS-SW48-000089_95ID.sorted,trimmed_erpe_2018_sw_15hr_WHONDRS-SW48-000090_95ID.sorted,trimmed_erpe_2018_sw_18hr_WHONDRS-SW48-000091_95ID.sorted,trimmed_erpe_2018_sw_21hr_WHONDRS-SW48-000092_95ID.sorted,trimmed_erpe_2018_sw_24hr_WHONDRS-SW48-000093_95ID.sorted,trimmed_erpe_2018_sw_27hr_WHONDRS-SW48-000094_95ID.sorted,trimmed_erpe_2018_sw_30hr_WHONDRS-SW48-000095_95ID.sorted,trimmed_erpe_2018_sw_33hr_WHONDRS-SW48-000096_95ID.sorted,trimmed_erpe_2018_sw_39hr_WHONDRS-SW48-000098_95ID.sorted,trimmed_erpe_2018_sw_42hr_WHONDRS-SW48-000099_95ID.sorted,trimmed_erpe_2018_sw_45hr_WHONDRS-SW48-000100_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1065_length_10706_cov_3.972304__full-cat_1,1083,248,0,238,0,0,224,0,335,0,0,0,0,0,0,0,0,0,0,243,0,311,0,230,333,363,294,240,0,0,241,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1110_length_10518_cov_1.850159__full-cat_1,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_73979__full-cat_2,632,601,0,0,338,290,593,354,576,0,267,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_132910__full-cat_1,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_268525__full-cat_1,497,317,309,312,0,0,532,274,375,301,469,260,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_466105__full-cat_2,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_306482__full-cat_1,768,600,372,0,0,347,600,377,415,0,0,0,0,0,404,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_329234__full-cat_2,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_473782__full-cat_1,2506,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_513142__full-cat_1,759,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_536324__full-cat_1,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_551446__full-cat_1,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_845080__full-cat_1,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_941895__full-cat_2,1030,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_983585__full-cat_1,727,464,316,0,0,0,505,284,418,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1013482__full-cat_2,563,371,228,0,0,0,393,242,255,0,0,0,0,0,253,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1053142__full-cat_1,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1158749__full-cat_1,457,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1211916__full-cat_2,678,453,497,360,0,0,573,322,525,422,716,393,327,325,282,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1306047__full-cat_2,587,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1320420__full-cat_1,800,0,0,296,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1548123__full-cat_1,610,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1630086__full-cat_2,590,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1640961__full-cat_1,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1641991__full-cat_2,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1676554__full-cat_1,1046,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1752990__full-cat_1,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
